episode,reward,length,terminated,truncated,outcome
1,-345.83,118,1,0,crashed
2,-248.47,72,1,0,crashed
3,-358.28,104,1,0,out_of_bounds
4,-321.64,104,1,0,crashed
5,-208.72,88,1,0,crashed
6,-89.83,130,1,0,crashed
7,-380.92,94,1,0,crashed
8,-129.49,82,1,0,crashed
9,-62.73,66,1,0,crashed
10,-103.21,66,1,0,crashed
11,-153.83,96,1,0,crashed
12,-121.59,97,1,0,crashed
13,-331.80,83,1,0,crashed
14,-135.88,73,1,0,crashed
15,-163.71,112,1,0,crashed
16,-135.63,95,1,0,crashed
17,-575.48,96,1,0,out_of_bounds
18,-180.35,68,1,0,crashed
19,-132.38,80,1,0,crashed
20,-130.67,83,1,0,crashed
21,-151.31,104,1,0,crashed
22,-106.38,108,1,0,crashed
23,-317.24,100,1,0,crashed
24,-116.21,100,1,0,crashed
25,-100.48,138,1,0,crashed
26,-63.02,77,1,0,crashed
27,-310.93,72,1,0,crashed
28,-131.42,103,1,0,crashed
29,-236.82,89,1,0,crashed
30,-291.14,110,1,0,crashed
31,-394.86,129,1,0,crashed
32,-234.08,197,1,0,out_of_bounds
33,-299.63,83,1,0,crashed
34,-254.98,121,1,0,crashed
35,-71.81,82,1,0,crashed
36,-234.93,97,1,0,crashed
37,-51.67,131,1,0,crashed
38,-318.76,134,1,0,crashed
39,-120.71,100,1,0,crashed
40,-423.14,136,1,0,crashed
41,5.69,145,1,0,crashed
42,-139.07,71,1,0,crashed
43,-436.28,117,1,0,crashed
44,-255.68,131,1,0,crashed
45,-203.57,80,1,0,crashed
46,-383.61,107,1,0,crashed
47,-405.35,118,1,0,crashed
48,-120.44,122,1,0,crashed
49,-80.39,90,1,0,crashed
50,-64.76,94,1,0,crashed
51,-320.98,156,1,0,crashed
52,-64.91,120,1,0,crashed
53,-108.56,157,1,0,crashed
54,-130.28,163,1,0,crashed
55,-69.14,143,1,0,crashed
56,-316.47,123,1,0,crashed
57,-205.12,95,1,0,crashed
58,-10.72,75,1,0,crashed
59,-128.60,214,1,0,crashed
60,-87.88,145,1,0,crashed
61,-70.48,97,1,0,crashed
62,-112.31,144,1,0,crashed
63,-114.79,141,1,0,crashed
64,-84.48,92,1,0,crashed
65,-119.08,109,1,0,crashed
66,-131.99,138,1,0,crashed
67,-246.17,118,1,0,out_of_bounds
68,-54.98,79,1,0,crashed
69,-151.94,97,1,0,crashed
70,-324.36,140,1,0,crashed
71,-139.41,126,1,0,crashed
72,-220.39,126,1,0,crashed
73,-69.59,93,1,0,crashed
74,-127.91,209,1,0,crashed
75,-59.99,101,1,0,crashed
76,-97.25,186,1,0,crashed
77,-215.20,123,1,0,crashed
78,-66.07,85,1,0,crashed
79,-196.58,132,1,0,crashed
80,-147.17,94,1,0,crashed
81,-140.19,96,1,0,crashed
82,-170.06,105,1,0,crashed
83,-147.91,96,1,0,crashed
84,-206.92,204,1,0,crashed
85,-146.35,297,1,0,crashed
86,-169.23,79,1,0,crashed
87,-90.50,213,1,0,crashed
88,-392.55,155,1,0,crashed
89,-175.51,162,1,0,crashed
90,-254.81,144,1,0,crashed
91,-221.75,71,1,0,crashed
92,-52.04,171,1,0,crashed
93,-3.47,136,1,0,crashed
94,-130.60,145,1,0,crashed
95,-198.18,124,1,0,crashed
96,-69.45,150,1,0,crashed
97,-167.02,115,1,0,out_of_bounds
98,-199.65,88,1,0,crashed
99,-73.76,177,1,0,crashed
100,-155.12,123,1,0,crashed
101,-147.37,114,1,0,out_of_bounds
102,-172.07,208,1,0,crashed
103,-215.85,236,1,0,out_of_bounds
104,-124.76,139,1,0,crashed
105,-239.75,114,1,0,crashed
106,-223.27,203,1,0,crashed
107,-106.98,233,1,0,crashed
108,-144.80,195,1,0,crashed
109,-136.98,152,1,0,crashed
110,-178.27,138,1,0,crashed
111,-21.39,187,1,0,crashed
112,-198.57,117,1,0,crashed
113,-281.95,144,1,0,crashed
114,-168.60,152,1,0,crashed
115,-241.48,216,1,0,crashed
116,-83.83,304,1,0,crashed
117,-86.10,88,1,0,crashed
118,-129.19,169,1,0,crashed
119,-181.40,183,1,0,crashed
120,-78.27,147,1,0,crashed
121,-183.96,194,1,0,crashed
122,-37.21,115,1,0,crashed
123,-86.13,155,1,0,crashed
124,-164.76,163,1,0,crashed
125,-162.17,164,1,0,crashed
126,-137.67,268,1,0,crashed
127,-114.18,317,1,0,crashed
128,-114.34,117,1,0,out_of_bounds
129,71.47,1000,0,1,time_limit
130,-36.49,239,1,0,crashed
131,-88.62,141,1,0,crashed
132,-185.85,134,1,0,crashed
133,-149.21,238,1,0,crashed
134,-76.63,198,1,0,crashed
135,-93.05,196,1,0,crashed
136,-285.67,194,1,0,crashed
137,-79.29,214,1,0,crashed
138,-124.94,282,1,0,crashed
139,-23.15,236,1,0,crashed
140,-161.85,97,1,0,crashed
141,-114.88,157,1,0,crashed
142,-125.98,272,1,0,crashed
143,-62.04,275,1,0,crashed
144,-149.58,254,1,0,crashed
145,-65.29,164,1,0,crashed
146,-158.77,235,1,0,out_of_bounds
147,-70.92,263,1,0,crashed
148,-122.64,333,1,0,crashed
149,-111.70,100,1,0,crashed
150,-163.14,211,1,0,crashed
151,-212.04,106,1,0,crashed
152,-143.21,154,1,0,out_of_bounds
153,-151.06,352,1,0,crashed
154,-162.02,196,1,0,crashed
155,-107.30,418,1,0,crashed
