episode,reward,length,terminated,truncated,outcome
1,-420.20,143,1,0,out_of_bounds
2,-406.07,96,1,0,crashed
3,-283.59,65,1,0,crashed
4,-220.99,93,1,0,crashed
5,-348.39,80,1,0,crashed
6,-560.76,77,1,0,crashed
7,-60.44,95,1,0,crashed
8,-148.35,86,1,0,crashed
9,-237.05,145,1,0,out_of_bounds
10,-448.90,82,1,0,out_of_bounds
11,-232.27,102,1,0,out_of_bounds
12,-383.49,106,1,0,out_of_bounds
13,-185.36,104,1,0,out_of_bounds
14,-111.07,115,1,0,crashed
15,-267.95,80,1,0,crashed
16,-480.40,81,1,0,crashed
17,-254.90,83,1,0,crashed
18,-188.47,154,1,0,crashed
19,-163.91,88,1,0,crashed
20,-423.58,62,1,0,crashed
21,-265.54,67,1,0,crashed
22,-217.85,70,1,0,crashed
23,-550.50,76,1,0,crashed
24,-330.24,62,1,0,crashed
25,-554.14,65,1,0,crashed
26,-267.72,87,1,0,crashed
27,-461.86,96,1,0,out_of_bounds
28,-423.54,85,1,0,crashed
29,-426.72,63,1,0,crashed
30,-540.60,83,1,0,crashed
31,-461.46,64,1,0,crashed
32,-251.97,117,1,0,crashed
33,-475.26,63,1,0,crashed
34,-563.69,85,1,0,crashed
35,-432.96,57,1,0,crashed
36,-517.46,81,1,0,crashed
37,-534.15,75,1,0,crashed
38,-464.81,77,1,0,crashed
39,-392.87,68,1,0,crashed
40,-164.37,118,1,0,out_of_bounds
41,-147.97,130,1,0,out_of_bounds
42,-149.06,127,1,0,out_of_bounds
43,-239.19,116,1,0,crashed
44,-546.27,97,1,0,crashed
45,-581.41,122,1,0,crashed
46,-524.74,97,1,0,crashed
47,-533.63,172,1,0,crashed
48,-448.91,226,1,0,crashed
49,-460.49,158,1,0,crashed
50,-136.24,215,1,0,crashed
51,-232.18,129,1,0,crashed
52,-197.05,353,1,0,crashed
53,-180.44,104,1,0,out_of_bounds
54,-187.95,101,1,0,out_of_bounds
55,-290.51,209,1,0,crashed
56,-194.75,113,1,0,out_of_bounds
57,-275.85,213,1,0,crashed
58,-155.91,100,1,0,crashed
59,-110.66,178,1,0,crashed
60,-104.58,564,1,0,crashed
61,-154.03,97,1,0,crashed
62,-127.99,99,1,0,crashed
63,-150.96,97,1,0,crashed
64,-203.88,131,1,0,out_of_bounds
65,-227.25,331,1,0,crashed
