episode,reward,length,terminated,truncated,outcome
1,-227.99,134,1,0,crashed
2,-181.66,79,1,0,crashed
3,-125.08,84,1,0,crashed
4,-318.33,103,1,0,out_of_bounds
5,-115.83,70,1,0,crashed
6,-155.44,108,1,0,out_of_bounds
7,-125.01,86,1,0,crashed
8,-98.72,100,1,0,crashed
9,-7.45,92,1,0,crashed
10,-115.75,139,1,0,crashed
11,-58.15,77,1,0,crashed
12,-107.86,68,1,0,crashed
13,-123.46,90,1,0,crashed
14,-136.03,98,1,0,crashed
15,-379.80,113,1,0,out_of_bounds
16,-80.08,67,1,0,crashed
17,-34.16,72,1,0,crashed
18,-103.88,73,1,0,crashed
19,-80.74,115,1,0,crashed
20,-267.58,137,1,0,crashed
21,-162.11,67,1,0,crashed
22,-174.39,90,1,0,crashed
23,-431.93,86,1,0,crashed
24,-75.01,121,1,0,crashed
25,-90.19,69,1,0,crashed
26,-241.59,127,1,0,crashed
27,-55.44,114,1,0,crashed
28,-54.75,123,1,0,crashed
29,-88.24,65,1,0,crashed
30,-14.23,73,1,0,crashed
31,-114.56,68,1,0,crashed
32,-146.29,90,1,0,crashed
33,-234.89,133,1,0,crashed
34,-255.33,103,1,0,crashed
35,-270.35,67,1,0,crashed
36,-233.50,119,1,0,crashed
37,-100.21,108,1,0,crashed
38,-216.23,126,1,0,out_of_bounds
39,-454.24,89,1,0,out_of_bounds
40,-83.82,109,1,0,crashed
41,-135.06,162,1,0,crashed
42,-233.13,109,1,0,crashed
43,-162.32,147,1,0,out_of_bounds
44,-75.72,73,1,0,crashed
45,-357.48,85,1,0,out_of_bounds
46,-374.70,93,1,0,out_of_bounds
47,-138.02,67,1,0,crashed
48,-331.20,106,1,0,out_of_bounds
49,-197.46,77,1,0,crashed
50,-368.26,95,1,0,out_of_bounds
51,-296.18,87,1,0,crashed
52,-286.14,127,1,0,out_of_bounds
53,-143.80,119,1,0,crashed
54,-66.48,161,1,0,crashed
55,-314.18,112,1,0,crashed
56,-118.91,153,1,0,crashed
57,-391.88,192,1,0,crashed
58,-106.22,132,1,0,crashed
59,-328.45,172,1,0,crashed
