episode,reward,length,terminated,truncated,outcome
1,-149.81,82,1,0,crashed
2,-171.83,85,1,0,crashed
3,-147.81,76,1,0,crashed
4,-108.70,99,1,0,crashed
5,-76.97,63,1,0,crashed
6,-370.32,111,1,0,out_of_bounds
7,-106.42,72,1,0,crashed
8,-188.60,119,1,0,crashed
9,-194.76,76,1,0,crashed
10,-361.06,98,1,0,crashed
11,-152.67,79,1,0,crashed
12,-235.03,92,1,0,crashed
13,-233.48,110,1,0,crashed
14,-150.70,84,1,0,crashed
15,-139.41,63,1,0,crashed
16,-124.34,110,1,0,crashed
17,-272.27,82,1,0,crashed
18,-103.08,123,1,0,crashed
19,-103.86,66,1,0,crashed
20,-238.57,97,1,0,crashed
21,-87.75,69,1,0,crashed
22,-104.18,109,1,0,crashed
23,-209.32,103,1,0,out_of_bounds
24,-27.72,145,1,0,crashed
25,-55.06,82,1,0,crashed
26,-81.67,97,1,0,crashed
27,-64.42,67,1,0,crashed
28,-113.40,83,1,0,crashed
29,-69.57,108,1,0,crashed
30,-99.23,145,1,0,crashed
31,-40.04,72,1,0,crashed
32,-99.85,83,1,0,crashed
33,-215.27,100,1,0,out_of_bounds
34,-212.79,118,1,0,crashed
35,-165.63,75,1,0,crashed
36,-236.62,132,1,0,crashed
37,-226.12,101,1,0,crashed
38,-88.41,71,1,0,crashed
39,-100.23,103,1,0,crashed
40,-154.58,89,1,0,crashed
41,-215.54,128,1,0,crashed
42,-196.60,77,1,0,crashed
43,-207.51,80,1,0,crashed
44,-138.06,148,1,0,crashed
45,-108.45,122,1,0,crashed
46,-91.32,76,1,0,crashed
47,-162.05,120,1,0,out_of_bounds
48,-167.63,125,1,0,crashed
49,-127.19,115,1,0,crashed
50,-171.27,83,1,0,crashed
51,-71.41,66,1,0,crashed
52,-116.15,114,1,0,crashed
53,-161.73,155,1,0,crashed
54,-365.34,128,1,0,crashed
55,-138.53,104,1,0,crashed
56,-88.40,96,1,0,crashed
57,-67.53,121,1,0,crashed
58,11.32,117,1,0,crashed
59,-132.63,111,1,0,crashed
60,-122.10,99,1,0,crashed
61,-249.27,145,1,0,crashed
62,-80.62,87,1,0,crashed
63,-52.91,99,1,0,crashed
64,-139.97,115,1,0,crashed
65,-210.81,103,1,0,crashed
66,8.63,156,1,0,crashed
67,-91.07,152,1,0,crashed
68,-35.12,130,1,0,crashed
69,-85.24,192,1,0,crashed
70,-309.53,117,1,0,crashed
71,-152.67,164,1,0,crashed
72,-295.80,112,1,0,crashed
73,-10.37,93,1,0,crashed
74,-42.57,115,1,0,crashed
75,-193.40,127,1,0,crashed
76,-32.29,117,1,0,crashed
77,-158.07,87,1,0,crashed
78,-130.31,138,1,0,crashed
79,-168.30,160,1,0,crashed
80,-156.55,116,1,0,crashed
81,-177.01,198,1,0,crashed
82,-185.61,117,1,0,crashed
83,-74.24,84,1,0,crashed
84,-154.47,102,1,0,crashed
85,-66.31,168,1,0,crashed
86,-72.38,160,1,0,crashed
87,-325.75,112,1,0,crashed
